[2026-05-04 09:35:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Termômetro Pergolado', payload '{"battery":76,"humidity":90.08,"last_seen":"2026-05-04T12:35:22.255Z","linkquality":69,"temperature":21.93,"voltage":2900}'
[2026-05-04 09:35:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":10.5,"illuminance":3,"last_seen":"2026-05-04T12:35:22.282Z","linkquality":76,"maximum_range":2.4,"minimum_range":0.6,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-04 09:35:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":15.5,"illuminance":7,"last_seen":"2026-05-04T12:35:22.343Z","linkquality":91,"maximum_range":2.1,"minimum_range":0,"presence":false,"radar_sensitivity":8,"target_distance":0}'
[2026-05-04 09:35:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":133,"last_seen":"2026-05-04T12:35:22.962Z","linkquality":69,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":3.06}'
[2026-05-04 09:35:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Presença Corredor Andar 2', payload '{"battery":100,"fading_time":30,"illuminance":537,"indicator":"OFF","last_seen":"2026-05-04T12:35:23.190Z","linkquality":29,"motion_detection_mode":"pir_and_radar","motion_detection_sensitivity":5,"motion_state":"none","presence":false,"static_detection_distance":5,"static_detection_sensitivity":7}'
[2026-05-04 09:35:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Presença Corredor Andar 2', payload '{"battery":100,"fading_time":30,"illuminance":536,"indicator":"OFF","last_seen":"2026-05-04T12:35:23.745Z","linkquality":29,"motion_detection_mode":"pir_and_radar","motion_detection_sensitivity":5,"motion_state":"none","presence":false,"static_detection_distance":5,"static_detection_sensitivity":7}'
[2026-05-04 09:35:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":10.5,"illuminance":3,"last_seen":"2026-05-04T12:35:23.882Z","linkquality":76,"maximum_range":2.4,"minimum_range":0.6,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-04 09:35:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":15.5,"illuminance":7,"last_seen":"2026-05-04T12:35:23.937Z","linkquality":91,"maximum_range":2.1,"minimum_range":0,"presence":false,"radar_sensitivity":8,"target_distance":0}'
[2026-05-04 09:35:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":133,"last_seen":"2026-05-04T12:35:23.965Z","linkquality":69,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.9}'
[2026-05-04 09:35:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sensor Chuva Fundos', payload '{"battery":100,"cleaning_reminder":true,"illuminance_average_20min":5410,"illuminance_maximum_today":5470,"illuminance_raw":5460,"last_seen":"2026-05-04T12:35:24.250Z","linkquality":69,"rain":true,"rain_intensity":3148}'
[2026-05-04 09:35:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sensor Chuva Fundos', payload '{"battery":100,"cleaning_reminder":true,"illuminance_average_20min":5410,"illuminance_maximum_today":5470,"illuminance_raw":5470,"last_seen":"2026-05-04T12:35:24.327Z","linkquality":69,"rain":true,"rain_intensity":3148}'
[2026-05-04 09:35:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/health', payload '{"response_time":1777898124336,"os":{"load_average":[0.25,0.25,0.26],"memory_used_mb":3005.16,"memory_percent":30.2614},"process":{"uptime_sec":185402,"memory_used_mb":146.36,"memory_percent":1.4738},"mqtt":{"connected":true,"queued":0,"published":1216790,"received":836},"devices":{"0xa4c138bb2ff74346":{"messages":123502,"messages_per_sec":0.6661,"leave_count":0,"network_address_changes":0},"0xa4c138dea39ed6a2":{"messages":120790,"messages_per_sec":0.6515,"leave_count":0,"network_address_changes":0},"0xa4c138dfcc7e6821":{"messages":2693,"messages_per_sec":0.0145,"leave_count":0,"network_address_changes":0},"0xa4c138811a4ab180":{"messages":1243,"messages_per_sec":0.0067,"leave_count":0,"network_address_changes":0},"0xa4c1387b07e391b4":{"messages":9976,"messages_per_sec":0.0538,"leave_count":0,"network_address_changes":0},"0x804b50fffe08f080":{"messages":776,"messages_per_sec":0.0042,"leave_count":0,"network_address_changes":0},"0x00124b001f918d5f":{"messages":1296,"messages_per_sec":0.007,"leave_count":0,"network_address_changes":0},"0x804b50fffeb0d5e0":{"messages":796,"messages_per_sec":0.0043,"leave_count":0,"network_address_changes":0},"0xa4c13833cd515ad7":{"messages":3604,"messages_per_sec":0.0194,"leave_count":0,"network_address_changes":0},"0xa4c1387d325189e0":{"messages":1285,"messages_per_sec":0.0069,"leave_count":0,"network_address_changes":0},"0x60b763fffe1e273d":{"messages":48322,"messages_per_sec":0.2607,"leave_count":0,"network_address_changes":0},"0xa4c138e53dfe77d8":{"messages":1981,"messages_per_sec":0.0107,"leave_count":0,"network_address_changes":0},"0xa4c138af395d10e5":{"messages":2687,"messages_per_sec":0.0145,"leave_count":0,"network_address_changes":0},"0xa4c1389fa62db89f":{"messages":2846,"messages_per_sec":0.0154,"leave_count":0,"network_address_changes":0},"0x60b763fffe20fe56":{"messages":49074,"messages_per_sec":0.2648,"leave_count":0,"network_address_changes":0},"0x00124b0022686438":{"messages":286,"messages_per_sec":0.0015,"leave_count":0,"network_address_changes":0},"0x70ac08fffeddb19e":{"messages":61492,"messages_per_sec":0.3318,"leave_count":0,"network_address_changes":0},"0xa4c1383bc1cbc823":{"messages":9559,"messages_per_sec":0.0516,"leave_count":0,"network_address_changes":0},"0x00124b0022cd3ef0":{"messages":1240,"messages_per_sec":0.0067,"leave_count":0,"network_address_changes":0},"0x60b763fffe1e4948":{"messages":48150,"messages_per_sec":0.2598,"leave_count":0,"network_address_changes":0},"0xa4c13837b7420d7c":{"messages":1208,"messages_per_sec":0.0065,"leave_count":0,"network_address_changes":0},"0xa4c13807053d6531":{"messages":606,"messages_per_sec":0.0033,"leave_count":0,"network_address_changes":0},"0xa4c13805deab5437":{"messages":38560,"messages_per_sec":0.2081,"leave_count":0,"network_address_changes":0},"0x00124b001f918a5a":{"messages":1337,"messages_per_sec":0.0072,"leave_count":0,"network_address_changes":0},"0xa4c1389ae8a02da7":{"messages":4019,"messages_per_sec":0.0217,"leave_count":0,"network_address_changes":0},"0x00124b00234e6dc1":{"messages":2313,"messages_per_sec":0.0125,"leave_count":0,"network_address_changes":0},"0x70ac08fffeddbb2d":{"messages":48368,"messages_per_sec":0.2611,"leave_count":0,"network_address_changes":0},"0x00124b001f91d5e0":{"messages":1565,"messages_per_sec":0.0084,"leave_count":0,"network_address_changes":0},"0xa4c138099a5c63e0":{"messages":1196,"messages_per_sec":0.0065,"leave_count":0,"network_address_changes":0},"0x804b50fffeb725bd":{"messages":790,"messages_per_sec":0.0043,"leave_count":0,"network_address_changes":0},"0x54ef4410000d71ac":{"messages":264,"messages_per_sec":0.0014,"leave_count":0,"network_address_changes":0},"0x804b50fffe0a6a7b":{"messages":804,"messages_per_sec":0.0043,"leave_count":0,"network_address_changes":0},"0x804b50fffe0a6caa":{"messages":945,"messages_per_sec":0.0051,"leave_count":0,"network_address_changes":0},"0x804b50fffea6b587":{"messages":783,"messages_per_sec":0.0042,"leave_count":0,"network_address_changes":0},"0xa4c1383a7dd96bc7":{"messages":1140,"messages_per_sec":0.0062,"leave_count":0,"network_address_changes":0},"0x0ceff6fffe69be7a":{"messages":157,"messages_per_sec":0.0008,"leave_count":0,"network_address_changes":0},"0xa4c138e3a3f74f45":{"messages":2160,"messages_per_sec":0.0117,"leave_count":0,"network_address_changes":0},"0xa4c1387e0d2971a0":{"messages":650,"messages_per_sec":0.0035,"leave_count":0,"network_address_changes":0},"0xa4c138048bec7e7b":{"messages":392,"messages_per_sec":0.0021,"leave_count":0,"network_address_changes":0},"0x00124b001f918c53":{"messages":256,"messages_per_sec":0.0014,"leave_count":0,"network_address_changes":0},"0xa4c13878bbcd8684":{"messages":657,"messages_per_sec":0.0036,"leave_count":0,"network_address_changes":0},"0x00124b00251fb081":{"messages":237,"messages_per_sec":0.0013,"leave_count":0,"network_address_changes":0},"0xa4c13846fb77df48":{"messages":3325,"messages_per_sec":0.018,"leave_count":0,"network_address_changes":0},"0xa4c13853657266b6":{"messages":2338,"messages_per_sec":0.0127,"leave_count":0,"network_address_changes":0},"0x00124b00257cb078":{"messages":49,"messages_per_sec":0.0003,"leave_count":0,"network_address_changes":0},"0x00158d0006793036":{"messages":344,"messages_per_sec":0.0019,"leave_count":0,"network_address_changes":0},"0x00158d000544a891":{"messages":62,"messages_per_sec":0.0003,"leave_count":0,"network_address_changes":0},"0x00124b0024c2cc52":{"messages":49,"messages_per_sec":0.0003,"leave_count":0,"network_address_changes":0},"0x00158d00062fdb26":{"messages":63,"messages_per_sec":0.0003,"leave_count":0,"network_address_changes":0},"0xa4c1387abb0f6625":{"messages":13,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0x04cf8cdf3c7d0e1e":{"messages":217,"messages_per_sec":0.0012,"leave_count":0,"network_address_changes":0},"0x804b50fffe04731f":{"messages":117,"messages_per_sec":0.0006,"leave_count":0,"network_address_changes":0},"0x00158d00045a349a":{"messages":61,"messages_per_sec":0.0003,"leave_count":0,"network_address_changes":0},"0x00124b0022d33b3d":{"messages":58,"messages_per_sec":0.0003,"leave_count":0,"network_address_changes":0},"0x00158d0004747e1c":{"messages":61,"messages_per_sec":0.0003,"leave_count":0,"network_address_changes":0},"0xa4c1380f92bf68c6":{"messages":1715,"messages_per_sec":0.0094,"leave_count":0,"network_address_changes":0},"0xa4c13845f2703a26":{"messages":153,"messages_per_sec":0.0008,"leave_count":0,"network_address_changes":0},"0x00124b0022d32422":{"messages":14,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0xa4c13846c06fddcc":{"messages":13,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0x00124b0022cd84f7":{"messages":18,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0x60a423fffe39e6b2":{"messages":254,"messages_per_sec":0.0014,"leave_count":0,"network_address_changes":0},"0xa4c1389348a63af7":{"messages":27,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0xa4c138813580f361":{"messages":26,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0xa4c13829cd801fe3":{"messages":19,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0x00124b0022fde1c3":{"messages":18,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0xa4c138d882c3ec02":{"messages":13,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0xa4c13861a9e82058":{"messages":13,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0x00158d0005995f6f":{"messages":29,"messages_per_sec":0.0002,"leave_count":0,"network_address_changes":0},"0xa4c13849be48634a":{"messages":39,"messages_per_sec":0.0002,"leave_count":0,"network_address_changes":0},"0xa4c138e2a7ddb9c2":{"messages":12,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0xa4c13828d4df879b":{"messages":3,"messages_per_sec":0,"leave_count":0,"network_address_changes":0},"0x00124b002396fc49":{"messages":18,"messages_per_sec":0.0001,"leave_count":0,"network_address_changes":0},"0x00124b0022d32600":{"messages":2,"messages_per_sec":0.0004,"leave_count":0,"network_address_changes":0}}}'
[2026-05-04 09:35:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sensor Chuva Fundos', payload '{"battery":100,"cleaning_reminder":true,"illuminance_average_20min":5411,"illuminance_maximum_today":5470,"illuminance_raw":5470,"last_seen":"2026-05-04T12:35:24.453Z","linkquality":65,"rain":true,"rain_intensity":3148}'
[2026-05-04 09:35:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sensor Chuva Fundos', payload '{"battery":100,"cleaning_reminder":true,"illuminance_average_20min":5411,"illuminance_maximum_today":5470,"illuminance_raw":5470,"last_seen":"2026-05-04T12:35:24.578Z","linkquality":61,"rain":true,"rain_intensity":3148}'
[2026-05-04 09:35:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":133,"last_seen":"2026-05-04T12:35:24.960Z","linkquality":54,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":3.04}'
[2026-05-04 09:35:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":10.5,"illuminance":3,"last_seen":"2026-05-04T12:35:25.479Z","linkquality":72,"maximum_range":2.4,"minimum_range":0.6,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-04 09:35:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":15.5,"illuminance":7,"last_seen":"2026-05-04T12:35:25.530Z","linkquality":91,"maximum_range":2.1,"minimum_range":0,"presence":false,"radar_sensitivity":8,"target_distance":0}'
[2026-05-04 09:35:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":139,"last_seen":"2026-05-04T12:35:25.619Z","linkquality":65,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":3.04}'
[2026-05-04 09:35:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":139,"last_seen":"2026-05-04T12:35:25.960Z","linkquality":69,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.68}'
[2026-05-04 09:35:26] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/POW Chuveiro Ivan', payload '{"ac_frequency":60.04,"current":0,"energy":5.8,"event":null,"forward_electricity":580,"last_seen":"2026-05-04T12:35:26.520Z","linkquality":54,"over_current_setting":"Alarm","over_current_threshold":50,"over_power_setting":"Ignore","over_power_threshold":2000,"over_voltage_setting":"Alarm","over_voltage_threshold":280,"power":0,"power_factor":0,"temperature":31,"temperature_setting":"Alarm","temperature_threshold":100,"test1":0,"under_voltage_setting":"Alarm","under_voltage_threshold":100,"voltage":224.6}'
